,artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Hozier,Hozier (Deluxe),Take Me To Church,7dS5EaCoMnN7DzlpT6aRn2,0.634,0.566,0.664,4,-5.303,0,0.0464,0,0.116,0.437,128.945,241688,4
1,Mike Posner,31 Minutes to Takeoff,Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,0.179,0.768,0.82,7,-4.63,0,0.0474,0,0.689,0.625,129.965,213293,4
2,"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.371,0.558,0.559,6,-9.222,1,0.0959,7.49e-06,0.109,0.62,78.558,180387,4
3,Bastille,Bad Blood,Pompeii,3gbBpTdY8lnQwqxNCcf795,0.0755,0.679,0.715,9,-6.383,1,0.0407,0,0.271,0.571,127.435,214148,4
4,Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,0.284,0.778,0.824,10,-5.892,0,0.0707,0,0.405,0.758,100.024,218093,4
5,The Script,#3 Deluxe Version,Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,0.0654,0.421,0.873,10,-4.343,1,0.0564,0,0.123,0.629,84.786,202533,4
6,Otto Knows,Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),78W8wiUIlQ2SnWY9TVowKZ,0.0306,0.497,0.865,0,-3.19,1,0.0644,0.0679,0.443,0.595,125.96,174203,4
7,Selena Gomez,The Heart Wants What It Wants,The Heart Wants What It Wants,2jcPoPin36hyNRSi4ZsqeB,0.053,0.616,0.789,7,-4.874,0,0.0377,0,0.142,0.621,83.066,227373,4
8,Taio Cruz,The Rokstarr Hits Collection,Dynamite,2CEgGE6aESpnmtfiZwYlbV,0.00379,0.751,0.783,4,-3.724,1,0.0859,0,0.036,0.816,119.975,202613,4
9,Mohombi,Bumpy Ride,Bumpy Ride,0tBRo4P60DgKmg4jt48upm,0.047,0.709,0.854,0,-4.447,0,0.0399,0,0.0724,0.826,105.074,224402,4
10,Lucenzo,Danza Kuduro (feat. Don Omar),Danza Kuduro (feat. Don Omar),1kAZhbcsXqfUjnVeqPywn2,0.0855,0.706,0.89,0,-6.575,1,0.0847,0,0.0465,0.896,130.051,202347,4
11,Cheek,Sokka irti,Syypää sun hymyyn (feat. Yasmine Yamajako),2N2QvMYwyYHE8V4KZbbG4i,0.171,0.472,0.815,9,-4.002,0,0.319,0,0.265,0.81,98.017,230413,4
12,Flo Rida,Whistle,Whistle,0ltBH1JNzSvQJPjJpvTu9B,0.0199,0.754,0.933,0,-5.786,1,0.0448,0,0.297,0.75,103.992,225000,4
13,Avril Lavigne,The Best Damn Thing,Girlfriend,5HbCnVLXRyZVxnreOPgJCK,0.000738,0.56,0.959,7,-2.433,1,0.102,0.000206,0.209,0.67,163.983,216600,4
14,Justin Bieber,Baby,Baby,4NFhtFE68cXUrfbne8JE2c,0.0428,0.463,0.854,8,-5.386,1,0.32,0,0.0922,0.567,65.038,216520,4
15,Flo Rida,Wild Ones (Deluxe),I Cry,5HE3z4Ew7wZ91l3ZOpGKa4,0.00616,0.693,0.822,4,-5.441,0,0.0439,1.79e-06,0.315,0.763,126.035,223800,4
16,Mohombi,MoveMeant (International),Coconut Tree,5L9THbmMKB6ZlHlMgzaXHf,0.0486,0.687,0.855,7,-5.341,0,0.0416,0,0.233,0.647,130.029,218373,4
17,Justin Bieber,My Worlds (International Version),One Less Lonely Girl,7qUcqYzOtfZe65bednDxmz,0.159,0.58,0.75,4,-4.421,1,0.194,0,0.274,0.728,86.938,229107,4
18,Pikku G,Räjähdysvaara,Romeo ja Julia (feat. Sophie),0seHreoI3kwp38OlEgLLnT,0.0539,0.695,0.628,11,-6.498,0,0.0442,0,0.32,0.529,144.114,236200,4
19,Swedish House Mafia,Until Now (Deluxe Version),Don't You Worry Child - Radio Edit,5DcPOPPUnNhyPYbTi2aWjR,0.125,0.608,0.828,2,-3.597,1,0.051,0,0.113,0.484,128.919,212841,4
20,Macklemore & Ryan Lewis,The Heist,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,0.0291,0.641,0.922,2,-4.457,1,0.0786,0,0.0862,0.847,146.078,258343,4
21,David Guetta,Nothing but the Beat 2.0,She Wolf (Falling to Pieces) [feat. Sia],1HfPcQ3c2HyGeID3u1lmCa,0.0834,0.491,0.857,7,-2.634,1,0.0656,7.57e-06,0.344,0.395,129.971,222500,4
22,Imagine Dragons,Night Visions (Deluxe),Radioactive,6Ep6BzIOB9tz3P4sWqiiAB,0.119,0.473,0.777,9,-3.698,1,0.059,7.87e-05,0.671,0.21,136.249,186813,4
23,Flo Rida,Wild Ones,Whistle,3bC1ahPIYt1btJzSSEyyrF,0.0208,0.747,0.937,0,-5.746,1,0.0453,0,0.29,0.739,103.976,224653,4
24,Calvin Harris,18 Months,I Need Your Love (feat. Ellie Goulding),05SBRd4fXgn8FX7bf8BCAE,0.41,0.695,0.869,8,-5.066,1,0.0483,0,0.237,0.58,124.989,234507,4
